监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
下埔 (惠州),惠州,2021-11,秋季,7,20,55,0.5,500.0,34,17,0.41666666666666663,0.3076923076923077,0.27835051546391754,0.28571428571428575,0.396551724137931,0.2619047619047619,39.99999999999999,150.0,-31.25,66.66666666666667,0.0,-19.047619047619047,1.9468802615798706
金果湾 (惠州),惠州,2021-11,秋季,4,10,43,0.4,400.0,25,17,0.16666666666666666,0.11538461538461539,0.15463917525773196,0.14285714285714285,0.24137931034482757,0.2619047619047619,-42.85714285714286,-50.0,-21.818181818181813,-19.999999999999996,-26.470588235294112,0.0,1.0828316724157463
下埔 (惠州),惠州,2021-12,冬季,8,20,53,0.5,500.0,36,22,0.5,0.3076923076923077,0.25773195876288657,0.28571428571428575,0.4310344827586207,0.3809523809523809,100.0,100.0,23.25581395348837,25.0,43.99999999999999,29.41176470588236,2.1631254158804816
金果湾 (惠州),惠州,2021-12,冬季,6,12,50,0.3,300.0,29,20,0.33333333333333337,0.15384615384615385,0.22680412371134018,0.0,0.3103448275862069,0.3333333333333333,-25.0,-40.0,-5.660377358490565,-40.0,-19.444444444444443,-9.090909090909093,1.3576617718103676
东湖 (江门),江门,2021-01,冬季,7,46,38,1.0,1000.0,66,31,0.41666666666666663,0.8076923076923077,0.10309278350515466,1.0,0.9482758620689655,0.5952380952380951,0.0,0.0,0.0,0.0,0.0,0.0,3.87096571517119
端芬 (江门),江门,2021-01,冬季,4,27,48,0.8,800.0,39,28,0.16666666666666666,0.44230769230769235,0.20618556701030932,0.7142857142857142,0.4827586206896552,0.5238095238095237,-42.85714285714286,-41.30434782608695,26.315789473684205,-19.999999999999996,-40.90909090909091,-9.677419354838712,2.5360137847695614
花果山 (江门),江门,2021-01,冬季,7,39,36,1.0,1000.0,67,48,0.41666666666666663,0.6730769230769231,0.08247422680412375,1.0,0.9655172413793103,1.0,75.0,44.44444444444444,-25.0,25.0,71.79487179487178,71.42857142857142,4.137735057927024
东湖 (江门),江门,2021-02,冬季,6,25,42,0.7,700.0,31,18,0.33333333333333337,0.40384615384615385,0.14432989690721654,0.5714285714285714,0.3448275862068965,0.2857142857142857,-14.28571428571429,-35.89743589743589,16.666666666666675,-30.000000000000004,-53.73134328358209,-62.5,2.0834798274364577
端芬 (江门),江门,2021-02,冬季,2,14,55,0.7,700.0,19,15,0.0,0.19230769230769235,0.27835051546391754,0.5714285714285714,0.13793103448275862,0.21428571428571425,-66.66666666666667,-43.99999999999999,30.952380952380953,0.0,-38.70967741935484,-16.666666666666664,1.3943035279686542
花果山 (江门),江门,2021-02,冬季,4,21,39,0.8,800.0,32,23,0.16666666666666666,0.3269230769230769,0.11340206185567014,0.7142857142857142,0.3620689655172414,0.4047619047619047,100.0,50.0,-29.09090909090909,14.28571428571428,68.42105263157893,53.33333333333334,2.088108390010274
东湖 (江门),江门,2021-03,春季,7,26,65,0.6,600.0,44,22,0.41666666666666663,0.4230769230769231,0.38144329896907214,0.42857142857142855,0.5689655172413792,0.3809523809523809,75.0,23.809523809523814,66.66666666666667,-25.0,37.5,-4.347826086956519,2.5996762154778508
端芬 (江门),江门,2021-03,春季,4,14,67,0.6,600.0,26,18,0.16666666666666666,0.19230769230769235,0.4020618556701031,0.42857142857142855,0.25862068965517243,0.2857142857142857,-42.85714285714286,-46.15384615384615,3.076923076923066,0.0,-40.90909090909091,-18.181818181818176,1.7339426185853486
花果山 (江门),江门,2021-03,春季,7,24,50,0.7,700.0,45,29,0.41666666666666663,0.38461538461538464,0.22680412371134018,0.5714285714285714,0.5862068965517242,0.5476190476190477,75.0,71.42857142857142,-25.373134328358205,16.666666666666675,73.07692307692308,61.111111111111114,2.733340690592734
东湖 (江门),江门,2021-04,春季,7,24,73,0.5,500.0,42,20,0.41666666666666663,0.38461538461538464,0.4639175257731959,0.28571428571428575,0.5344827586206897,0.3333333333333333,0.0,0.0,46.0,-28.57142857142857,-6.666666666666665,-31.034482758620683,2.418729954723556
端芬 (江门),江门,2021-04,春季,3,11,69,0.5,500.0,25,15,0.08333333333333334,0.13461538461538464,0.4226804123711341,0.28571428571428575,0.24137931034482757,0.21428571428571425,-57.14285714285714,-54.16666666666667,-5.47945205479452,0.0,-40.476190476190474,-25.0,1.3820084406646795
花果山 (江门),江门,2021-04,春季,7,21,58,0.6,600.0,44,27,0.41666666666666663,0.3269230769230769,0.30927835051546393,0.42857142857142855,0.5689655172413792,0.49999999999999994,133.33333333333334,90.90909090909092,-15.94202898550725,19.999999999999996,76.0,80.0,2.550405039918015
东湖 (江门),江门,2021-05,春季,7,20,71,0.6,600.0,33,16,0.41666666666666663,0.3076923076923077,0.44329896907216493,0.42857142857142855,0.37931034482758624,0.23809523809523808,0.0,-4.761904761904767,22.413793103448263,0.0,-25.0,-40.74074074074075,2.213634954925392
